length (number of unit.mol) time(using unit.mol/seconds)   time (using unit_5.mol/seconds)    
2               		        0.6747                          N/A   
4			                 			2.0392                          N/A
5			                 			3.7090                          N/A 
8			                			29.7051                         N/A
10                          225.0359			                  336.4314
15                          350.4328  			                634.9923
20                          9029.2393  			                MISSING
25                          MISSING                         7697.5652                                 
